foliohog,cons_med1,tipo_tarif,tarifa_desc,tipo_viv,vivienda_desc
1,200,9,No sabe,2,Casa que comparte terreno con otra(s)
1,50,2,1 - A,1,Casa única del terreno
1,300,4,1 - C,1,Casa única del terreno
1,400,4,1 - C,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,300,9,No sabe,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,290,9,No sabe,1,Casa única del terreno
1,99999,9,No sabe,1,Casa única del terreno
1,300,2,1 - A,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,470,4,1 - C,1,Casa única del terreno
1,300,9,No sabe,2,Casa que comparte terreno con otra(s)
1,220,9,No sabe,1,Casa única del terreno
1,300,9,No sabe,1,Casa única del terreno
1,260,2,1 - A,1,Casa única del terreno
1,380,9,No sabe,1,Casa única del terreno
1,129,2,1 - A,1,Casa única del terreno
1,2000,9,No sabe,1,Casa única del terreno
1,800,2,1 - A,1,Casa única del terreno
1,800,3,1 - B,1,Casa única del terreno
1,370,9,No sabe,1,Casa única del terreno
1,215,3,1 - B,6,Vivienda en vecindad o cuartería
1,0,0,02,6,Vivienda en vecindad o cuartería
1,450,9,No sabe,6,Vivienda en vecindad o cuartería
1,265,9,No sabe,1,Casa única del terreno
1,182,9,No sabe,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,246,2,1 - A,1,Casa única del terreno
1,1200,1,01,2,Casa que comparte terreno con otra(s)
1,80,9,No sabe,1,Casa única del terreno
1,357,9,No sabe,2,Casa que comparte terreno con otra(s)
1,0,0,02,1,Casa única del terreno
1,80,1,01,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,0,0,02,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,0,0,02,1,Casa única del terreno
1,148,3,1 - B,1,Casa única del terreno
1,151,9,No sabe,1,Casa única del terreno
1,130,3,1 - B,1,Casa única del terreno
1,200,3,1 - B,1,Casa única del terreno
1,200,9,No sabe,1,Casa única del terreno
1,140,1,01,1,Casa única del terreno
1,520,2,1 - A,1,Casa única del terreno
1,620,9,No sabe,1,Casa única del terreno
1,370,9,No sabe,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,287,3,1 - B,1,Casa única del terreno
1,99999,9,No sabe,1,Casa única del terreno
1,320,3,1 - B,1,Casa única del terreno
1,400,9,No sabe,1,Casa única del terreno
1,343,9,No sabe,1,Casa única del terreno
1,99999,9,No sabe,2,Casa que comparte terreno con otra(s)
1,95,9,No sabe,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,153,9,No sabe,1,Casa única del terreno
1,99999,9,No sabe,1,Casa única del terreno
1,99999,9,No sabe,2,Casa que comparte terreno con otra(s)
1,140,2,1 - A,1,Casa única del terreno
1,140,9,No sabe,1,Casa única del terreno
1,180,2,1 - A,1,Casa única del terreno
1,99999,9,No sabe,1,Casa única del terreno
1,216,2,1 - A,1,Casa única del terreno
1,65,9,No sabe,2,Casa que comparte terreno con otra(s)
1,220,2,1 - A,1,Casa única del terreno
1,46,2,1 - A,1,Casa única del terreno
1,69,1,01,1,Casa única del terreno
1,128,9,No sabe,1,Casa única del terreno
1,90,1,01,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,0,0,02,1,Casa única del terreno
1,100,1,01,1,Casa única del terreno
1,141,1,01,1,Casa única del terreno
1,109,1,01,1,Casa única del terreno
1,195,1,01,1,Casa única del terreno
1,87,1,01,1,Casa única del terreno
1,80,1,01,1,Casa única del terreno
1,200,9,No sabe,1,Casa única del terreno
1,509,2,1 - A,1,Casa única del terreno
1,179,1,01,2,Casa que comparte terreno con otra(s)
1,274,1,01,1,Casa única del terreno
1,244,1,01,1,Casa única del terreno
1,230,9,No sabe,1,Casa única del terreno
1,520,1,01,1,Casa única del terreno
1,524,9,No sabe,1,Casa única del terreno
1,70,1,01,1,Casa única del terreno
1,105,1,01,1,Casa única del terreno
1,89,1,01,2,Casa que comparte terreno con otra(s)
1,190,9,No sabe,1,Casa única del terreno
1,450,2,1 - A,1,Casa única del terreno
1,75,9,No sabe,2,Casa que comparte terreno con otra(s)
1,97,2,1 - A,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,200,9,No sabe,1,Casa única del terreno
1,136,9,No sabe,2,Casa que comparte terreno con otra(s)
1,4800,9,No sabe,1,Casa única del terreno
1,99999,9,No sabe,1,Casa única del terreno
1,120,2,1 - A,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,125,2,1 - A,2,Casa que comparte terreno con otra(s)
1,0,0,02,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,99999,9,No sabe,1,Casa única del terreno
1,290,2,1 - A,1,Casa única del terreno
1,99999,9,No sabe,2,Casa que comparte terreno con otra(s)
1,250,9,No sabe,1,Casa única del terreno
1,800,9,No sabe,2,Casa que comparte terreno con otra(s)
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,46,2,1 - A,1,Casa única del terreno
1,227,9,No sabe,1,Casa única del terreno
1,240,9,No sabe,1,Casa única del terreno
1,169,2,1 - A,2,Casa que comparte terreno con otra(s)
1,350,2,1 - A,1,Casa única del terreno
1,195,9,No sabe,1,Casa única del terreno
1,500,9,No sabe,1,Casa única del terreno
1,223,9,No sabe,1,Casa única del terreno
1,87,9,No sabe,1,Casa única del terreno
1,185,9,No sabe,1,Casa única del terreno
1,400,1,01,1,Casa única del terreno
1,80,9,No sabe,1,Casa única del terreno
1,80,1,01,1,Casa única del terreno
1,182,2,1 - A,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,25,9,No sabe,1,Casa única del terreno
1,291,2,1 - A,1,Casa única del terreno
1,46,2,1 - A,1,Casa única del terreno
1,60,9,No sabe,2,Casa que comparte terreno con otra(s)
1,199,2,1 - A,1,Casa única del terreno
1,304,2,1 - A,1,Casa única del terreno
1,43,2,1 - A,1,Casa única del terreno
1,78,9,No sabe,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,213,2,1 - A,1,Casa única del terreno
1,50,2,1 - A,1,Casa única del terreno
1,155,9,No sabe,1,Casa única del terreno
1,75,2,1 - A,1,Casa única del terreno
1,53,2,1 - A,2,Casa que comparte terreno con otra(s)
1,155,2,1 - A,1,Casa única del terreno
1,130,2,1 - A,1,Casa única del terreno
1,60,2,1 - A,1,Casa única del terreno
1,480,2,1 - A,2,Casa que comparte terreno con otra(s)
1,62,2,1 - A,1,Casa única del terreno
1,28,2,1 - A,1,Casa única del terreno
1,40,2,1 - A,1,Casa única del terreno
1,37,9,No sabe,1,Casa única del terreno
1,65,9,No sabe,1,Casa única del terreno
1,35,2,1 - A,1,Casa única del terreno
1,425,9,No sabe,1,Casa única del terreno
1,99999,9,No sabe,1,Casa única del terreno
1,200,1,01,1,Casa única del terreno
1,77,9,No sabe,1,Casa única del terreno
1,230,9,No sabe,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,160,9,No sabe,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,114,2,1 - A,1,Casa única del terreno
1,0,9,No sabe,1,Casa única del terreno
1,250,2,1 - A,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,55,9,No sabe,2,Casa que comparte terreno con otra(s)
1,45,9,No sabe,1,Casa única del terreno
1,44,2,1 - A,1,Casa única del terreno
1,230,9,No sabe,1,Casa única del terreno
1,130,9,No sabe,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,174,9,No sabe,1,Casa única del terreno
1,317,2,1 - A,1,Casa única del terreno
1,275,9,No sabe,1,Casa única del terreno
1,150,9,No sabe,1,Casa única del terreno
1,460,9,No sabe,1,Casa única del terreno
1,200,9,No sabe,1,Casa única del terreno
1,250,4,1 - C,1,Casa única del terreno
1,700,9,No sabe,1,Casa única del terreno
1,310,9,No sabe,1,Casa única del terreno
1,99999,9,No sabe,1,Casa única del terreno
1,800,9,No sabe,1,Casa única del terreno
1,147,9,No sabe,1,Casa única del terreno
1,129,9,No sabe,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,180,9,No sabe,1,Casa única del terreno
1,91,9,No sabe,1,Casa única del terreno
1,148,9,No sabe,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,210,2,1 - A,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,60,9,No sabe,1,Casa única del terreno
1,255,1,01,1,Casa única del terreno
1,170,1,01,1,Casa única del terreno
1,219,2,1 - A,1,Casa única del terreno
1,273,9,No sabe,1,Casa única del terreno
1,280,9,No sabe,1,Casa única del terreno
1,25,9,No sabe,1,Casa única del terreno
1,300,9,No sabe,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,230,9,No sabe,1,Casa única del terreno
1,0,9,No sabe,2,Casa que comparte terreno con otra(s)
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,99999,9,No sabe,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,850,9,No sabe,2,Casa que comparte terreno con otra(s)
1,400,9,No sabe,1,Casa única del terreno
1,70,9,No sabe,1,Casa única del terreno
1,48,9,No sabe,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,135,9,No sabe,1,Casa única del terreno
1,150,9,No sabe,1,Casa única del terreno
1,140,2,1 - A,1,Casa única del terreno
1,500,9,No sabe,1,Casa única del terreno
1,110,9,No sabe,1,Casa única del terreno
1,298,9,No sabe,1,Casa única del terreno
1,89,4,1 - C,2,Casa que comparte terreno con otra(s)
1,250,1,01,1,Casa única del terreno
1,270,9,No sabe,1,Casa única del terreno
1,135,4,1 - C,1,Casa única del terreno
1,600,4,1 - C,1,Casa única del terreno
1,200,9,No sabe,2,Casa que comparte terreno con otra(s)
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,99999,9,No sabe,1,Casa única del terreno
1,400,9,No sabe,2,Casa que comparte terreno con otra(s)
1,190,9,No sabe,1,Casa única del terreno
1,34,9,No sabe,1,Casa única del terreno
1,0,9,No sabe,1,Casa única del terreno
1,99999,9,No sabe,1,Casa única del terreno
1,80,9,No sabe,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,70,9,No sabe,1,Casa única del terreno
1,99999,9,No sabe,1,Casa única del terreno
1,400,9,No sabe,1,Casa única del terreno
1,150,1,01,1,Casa única del terreno
1,100,9,No sabe,1,Casa única del terreno
1,150,9,No sabe,1,Casa única del terreno
1,99999,9,No sabe,2,Casa que comparte terreno con otra(s)
1,246,9,No sabe,2,Casa que comparte terreno con otra(s)
1,47,9,No sabe,1,Casa única del terreno
1,298,9,No sabe,1,Casa única del terreno
1,60,9,No sabe,1,Casa única del terreno
1,0,9,No sabe,1,Casa única del terreno
1,45,9,No sabe,1,Casa única del terreno
1,0,9,No sabe,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,99999,9,No sabe,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,0,0,02,1,Casa única del terreno
1,168,9,No sabe,2,Casa que comparte terreno con otra(s)
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,99999,9,No sabe,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,60,9,No sabe,1,Casa única del terreno
1,102,9,No sabe,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,336,3,1 - B,1,Casa única del terreno
1,250,9,No sabe,1,Casa única del terreno
1,99999,9,No sabe,1,Casa única del terreno
1,129,3,1 - B,1,Casa única del terreno
1,46,3,1 - B,1,Casa única del terreno
1,366,3,1 - B,1,Casa única del terreno
1,109,3,1 - B,1,Casa única del terreno
1,156,3,1 - B,2,Casa que comparte terreno con otra(s)
1,300,3,1 - B,1,Casa única del terreno
1,320,9,No sabe,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,99999,3,1 - B,2,Casa que comparte terreno con otra(s)
1,210,3,1 - B,2,Casa que comparte terreno con otra(s)
1,0,0,02,1,Casa única del terreno
1,0,0,02,1,Casa única del terreno
1,99999,9,No sabe,1,Casa única del terreno
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,99999,2,1 - A,2,Casa que comparte terreno con otra(s)
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,99999,9,No sabe,2,Casa que comparte terreno con otra(s)
1,99999,9,No sabe,2,Casa que comparte terreno con otra(s)
1,99999,9,No sabe,2,Casa que comparte terreno con otra(s)
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,150,9,No sabe,2,Casa que comparte terreno con otra(s)
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,20,9,No sabe,2,Casa que comparte terreno con otra(s)
1,130,2,1 - A,2,Casa que comparte terreno con otra(s)
1,99999,2,1 - A,2,Casa que comparte terreno con otra(s)
1,86,9,No sabe,2,Casa que comparte terreno con otra(s)
1,200,9,No sabe,2,Casa que comparte terreno con otra(s)
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,200,9,No sabe,2,Casa que comparte terreno con otra(s)
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,99999,9,No sabe,2,Casa que comparte terreno con otra(s)
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,99999,9,No sabe,2,Casa que comparte terreno con otra(s)
1,0,0,02,2,Casa que comparte terreno con otra(s)
1,99999,3,1 - B,1,Casa única del terreno
1,44,3,1 - B,2,Casa que comparte terreno con otra(s)
1,110,3,1 - B,2,Casa que comparte terreno con otra(s)
1,380,3,1 - B,2,Casa que comparte terreno con otra(s)
1,48,3,1 - B,1,Casa única del terreno
1,320,9,No sabe,1,Casa única del terreno
1,297,3,1 - B,1,Casa única del terreno
1,100,9,No sabe,1,Casa única del terreno
1,122,3,1 - B,2,Casa que comparte terreno con otra(s)
1,99999,9,No sabe,2,Casa que comparte terreno con otra(s)
1,181,3,1 - B,1,Casa única del terreno
1,49,2,1 - A,2,Casa que comparte terreno con otra(s)
1,0,0,02,1,Casa única del terreno
1,700,9,No sabe,1,Casa única del terreno
1,195,3,1 - B,1,Casa única del terreno
1,50,9,No sabe,2,Casa que comparte terreno con otra(s)
1,307,3,1 - B,2,Casa que comparte terreno con otra(s)
1,0,0,02,1,Casa única del terreno
1,320,3,1 - B,1,Casa única del terreno
1,150,3,1 - B,1,Casa única del terreno
1,95,9,No sabe,1,Casa única del terreno
